,titulo,descricao_do_recurso,tipo_de_recurso
679, As citocininas e giberelinas: exercício 3: jogo da roleta, Aprender sobre hormônios vegetais, Animação/simulação
680, Resistência Elétrica – Reostato Caseiro, Demonstrar como construir um reostato caseiro, Experimento prático
681, O artista e o matemático [Arte e matemática], Duração: 26 min <VIRGULA> 21 s, Vídeo
682, Teste atômico: parte 1: experimento prático, Demonstrar o teste de chama, Experimento prático
683, Polígonos, Conhecer as formas geométricas, Software Educacional
684, Técnicas de cálculo da divisão [Conversa de professor], Duração: 19 min <VIRGULA> 4 s, Vídeo
685, Algas unicelulares, Aprender sobre algas unicelulares, Animação/simulação
686, Clipe voador, Demonstrar a existência do campo magnético, Experimento prático
687, Vozes da Cidade - Catacrese, Analisar o funcionamento da catacrese, Animação/simulação
688, Solidariedade [Visões do esporte], Duração: 1 min <VIRGULA> 38 s, Vídeo
689, Gustav Kirchhoff, Apresentar a imagem de Gustav Kirchhoff, Imagem
690, O arco e a moeda: parte 2: vídeo, Demonstrar o princípio da inércia, Vídeo
691, Carlos Gomes: parte 1 [Aurora luminosa], Descrever o compositor Carlos Gomes, Vídeo
692, Interferência de duas ondas: circulares ou esféricas, Conceitos de propagação de ondas, Animação/simulação
693, Soluções de açúcar e sal, Conhecimentos sobre ligações químicas, Animação/simulação
694, Evangelista Torricelli, Apresentar a imagem de Evangelista Torricelli, Imagem
695, Comércio [Aula lá fora], Duração: 29 min <VIRGULA> 29 s, Vídeo
696, Exercício sobre evolução, A animação apresenta exercícios sobre evolução, Animação/simulação
697, Isolantes e condutores, Comparar a condutividade de diversos materiais, Imagem
698, Por que o avestruz<VIRGULA> a ema e o casuar não voam?, Conhecimentos básicos de zoologia, Experimento prático
699, Morto ou Vivo, Duração: Uma aula dupla, Experimento prático
700, Homoplasias, Animação apresentando a noção de homoplasia, Animação/simulação
701, Ciclo de vida de equinodermos, Apresentar o ciclo de vida de equinodermos, Vídeo
702, Sirpa<VIRGULA> a finlandesa [Escolhi viver aqui], Duração: 6 min <VIRGULA> 13 s, Vídeo
703, Cartolina grudenta, Demonstrar a ação da pressão atmosférica, Experimento prático
704, Duque de Caxias [Construtores do Brasil], Aprender sobre a vida de Duque de Caxias, Vídeo
705, Almanaque Sonoro de Química - Energia Nuclear e Impacto Ambiental - Parte 2, Despertar o interesse pelo estudo de Química, Áudio
706, A diversidade reprodutiva dos Farógamos: Gimnospermas e Angiospermas: exercício 4, Aprender sobre a reprodução das plantas, Animação/simulação
707, O sindicalismo no Brasil: o impasse para a votação da reforma sindical [Câmara informa], Aprender sobre os movimentos sindicais, Vídeo
708, Preparação de uma solução, Conhecimento em propriedades das substâncias, Vídeo
709, Super microscópio virtual, Analisar a composição dos materiais, Animação/simulação
710, Protocolo: comportamento dos materiais face à variação de temperatura - experiência 1, Demonstrar um fenômeno químico, Experimento prático
711, Morangos, Noções intuitivas do conceito de quantidade, Imagem
712, TV Escola – Sala de Professor – Programa Enxame<VIRGULA> Bandos e Cardumes – Parte 02, Comparar Web 1.0 <VIRGULA> 2.0 e 3.0, Vídeo
713, A cabanagem - Memória e Discurso na Cidade - Episódio II, Assistir o vídeo Cabanagem, Animação/simulação
714, Campo elétrico produzido por um anel de cargas, Conhecimentos de eletrostática básica, Animação/simulação
715, Adição de vetores 2.01, Noções de vetores, Animação/simulação
716, Direto das praias, Duração: 26 min, Vídeo
717, Encontre a frase, Desenvolver a noção de localização espacial, Animação/simulação
718, Paixão [Visões do esporte], Duração: 1 min <VIRGULA> 31 s, Vídeo
719, Algas pluricelulares, Aprender sobre algas pluricelulares, Animação/simulação
720, PET não é capim, Conhecimento de química orgânica, Áudio
721, Tangram, Construir um Tangram, Experimento prático
722, Tropicana, Duração: 00:05:56, Áudio
723, A luta contra os vilões da natureza: exercício 2, Aprender sobre os mecanismo de defesa vegetal, Animação/simulação
724, Metais, Identificar os metais na tabela periódica, Animação/simulação
725, África, Navegador com plugin do Flash 8 ou superior, Animação/simulação
726, TV Escola – Sala de Professor – Programa Lima Barreto – Parte 04, Conhecer e analisar o gênero notícia, Vídeo
727, Monômios, Propriedades da Potenciação., Animação/simulação
728, Aeração, Analisar afirmações sobre o tema da aeração, Animação/simulação
729, Os sofistas: parte 2, Aprender sobre o surgimento dos sofistas, Vídeo
730, Construção do Retângulo de Ouro no GeoGebra, Construir o Retângulo de Ouro no GeoGebra, Animação/simulação
731, A doença de Tay-Sachs, Aprender sobre a doença Tay-Sachs, Animação/simulação
732, Ficha ar 13: propriedades do ar - o ar ocupa espaço e pode se comprimir, Comprovar a existência do ar, Experimento prático
733, Motor elétrico: parte 1: experimento prático, Construir um modelo didático de motor elétrico, Experimento prático
734, Cromatografia radial, Aplicar as técnicas de cromatografia em papel, Experimento prático
735, Reprodução das aves: parte 1 [Fisiologia], Aprender sobre o sistema reprodutor das aves, Vídeo
736, Trapézio, Identificar os elementos do trapézio, Animação/simulação
737, Vozes do Tietê, Duração: 19 min, Vídeo
738, Regeneração de planária, Imagem que mostra a regeneração de planárias, Imagem
739, Povos primitivos do Chile, Conhecer os povos que viviam no Chile, Software Educacional
740, Tecladit, Melhorar a utilização do teclado do computador, Software Educacional
741, No imenso mar azul, Compreensão textual, Áudio
742, Você sabe o que é um aquífero?, Duração: 05:19 min., Áudio
743, Almanaque sonoro de química - Combustíveis : A química que move o mundo - Parte 4, Despertar o interesse pelo estudo da química, Áudio
744, Garrafa amassada, Demonstrar a ação da pressão atmosférica, Experimento prático
745, Almanaque sonoro de química - Conservação de Alimentos - Parte 3.1, Despertar o interesse pelo estudo químico, Áudio
746, Orbitais 3d, Conhecimentos de atomística, Animação/simulação
747, Cartola mágica, Demonstrar a solubilidade do isopor em acetona, Experimento prático
748, Pena de pato e de tico-tico, Compreensão textual, Áudio
749, Música das esferas [Arte e matemática], Duração: 24 min <VIRGULA> 19 s, Vídeo
750, Força dos ácidos, Comparar a força de dois ácidos, Experimento prático
751, Hendrik Antoon Lorentz, Apresentar a imagem de Hendrik Antoon Lorentz, Imagem
752, Ficha ar 12: propriedades do ar - o ar ocupa espaço, Comprovar a existência do ar, Experimento prático
753, Ovo em queda livre: parte 1: experimento prático, Demonstrar o princípio da inércia, Experimento prático
754, Almanaque sonoro de química - Cosméticos - Parte 3, Despertar o interesse pelo estudo da química, Áudio
755, Rondon e os índios brasileiros: primeira parte, Duração: 16 min <VIRGULA> 16 s, Vídeo
756, Fórmula Mágica, Noções básicas de aritmética, Animação/simulação
757, Escolhendo livros na biblioteca [Viagens de leitura], Duração: 9 min <VIRGULA> 6 s, Vídeo
758, Triângulo, Identificar os elementos do triângulo, Animação/simulação
759, Percepção de paisagem, Duração: aproximadamente 26 minutos, Vídeo
760, Clone, Conhecimento de genética, Áudio
761, Jardim de silicatos: parte 2: vídeo, Conhecimento básico sobre osmose, Vídeo
762, Pilha de refrigerante: parte 1: experimento prático, Mostrar o funcionamento de uma pilha, Experimento prático
763, Reação exotérmica, Mostrar uma reação exotérmica, Experimento prático
764, Energia Elétrica – Quem Sustenta Essa Ideia, Duração: 00:02:54, Áudio
765, Arredondar um número até os milhares, Aprender a arredondar números naturais, Vídeo
766, As auxinas: o primeiro hormônio: curiosidade, Aprender sobre o uso da ciência e tecnologia, Animação/simulação
767, Almanaque sonoro de química: Alimentos : Fontes de substâncias essenciais - Parte 2.1, Despertar o interesse pelo estudo da química, Áudio
768, Almanaque Sonoro de Química - Química da Atmosfera - Parte 2.1, Despertar o interesse pelo estudo da química, Áudio
769, Entidades sociais sagradas, Auxiliar na compreensão do que são tais tabus, Imagem
770, Fototropismo: parte 1: experimento prático, Demonstrar o fenômeno do fototropismo, Experimento prático
771, Você sabe qual é a profissão mais antiga do mundo, Duração: 00:02:31, Áudio
772, Fazendo a água subir: Parte 2: Vídeo, Conhecimento de reações de oxidação, Vídeo
773, Por dentro da lâmpada incandescente: Parte 2: Vídeos, Mostrar como funciona a lâmpada incandescente, Vídeo
774, Química básica, Conceitos de atomística, Software Educacional
775, O efeito fotoelétrico, Conceitos de física moderna, Animação/simulação
776, Joseph Henry, Apresentar a imagem de Joseph Henry, Imagem
777, Filosofia cristã medieval, Aprender sobre a filosofia cristã medieval, Vídeo
778, Densidade dos cilindros parte 1: experimento prático, Determinar a densidade de metais, Experimento prático
779, Paranaguá, Duração: 2 min, Vídeo
780, Os efeitos da maconha, Duração: 00:02:26, Áudio
781, As auxinas: o primeiro hormônio: exercício 1, Aprender sobre a ação dos hormônios, Animação/simulação
782, A água cai?, Demonstrar a ação da pressão atmosférica, Experimento prático
783, Almanaque sonoro de química: Alimentos : Fontes de substâncias essenciais - Parte 3, Despertar o interesse pelo estudo da química, Áudio
784, Acidez de um azeite, Determinar a acidez de uma amostra de azeite, Experimento prático
785, Vozes da cidade - Quase metáfora e catacrese, Apresentar a metáfora e a catacrese, Animação/simulação
786, TV, Duração: 4 min, Vídeo
787, Brincadeira com copos: parte 1: experimento prático, Mostrar o uso de polímeros na absorção de água, Experimento prático
788, Evaporação do solvente, Conhecimentos em propriedades das substâncias, Vídeo
789, Almanaque Sonoro de Química - Energia Nuclear e Impacto Ambiental - Parte 3, Despertar o interesse pelo estudo de Química, Áudio
790, Câmara escura: parte 1, Construir uma câmara escura, Vídeo
791, Especial sobre pilhas, Entender a relação homem e meio ambiente, Áudio
792, Cor [Visões do esporte], Duração: 59 s, Vídeo
793, Reprodução das aves: parte 2 [Fisiologia], Aprender sobre o sistema reprodutor das aves, Vídeo
794, Lorenzo Romano Amedeo Carlo Avogadro, Apresentar a imagem de Lorenzo Avogadro, Imagem
795, Henri Becquerel, Apresentar a imagem de Henri Becquerel, Imagem
796, Qualidade de Vida e Biodiversidade, Duração: 00:02:27, Áudio
797, Nossas línguas [Índios no Brasil], Duração: 19 min <VIRGULA> 23 s, Vídeo
798, A evolução do homem, Conhecer a evolução do ser humano, Animação/simulação
799, Tristeza [Orto e grafia], Duração: 4 min <VIRGULA> 22 s, Vídeo
800, Geometria, Apresenta um hipertexto sobre Geometria Plana, Outros
801, Isomeria ótica: jogo do labirinto, Aprender sobre isomeria ótica, Animação/simulação
802, Morreu de choque! De choque séptico, Duração: 00:02:23, Áudio
803, Copo mágico, Demonstrar a ação da pressão atmosférica, Experimento prático
804, Outros Sonhos, Duração: 00:05:26, Áudio
805, Ortografia: palavras com sc [Orto e grafia], Duração: 3 min <VIRGULA> 52 s, Vídeo
806, Thrassuyoolos<VIRGULA> o grego [Escolhi viver aqui], Duração: 6 min <VIRGULA> 14 s, Vídeo
807, Fraude 171 - Parte I, 10 minutos divididos em 2 blocos de 5 minutos, Áudio
808, Lúmen: parte 1: experimento prático, Mostrar uma reação de quimiluminescência, Experimento prático
809, Estado laico [Sala de Convidados], Debater sobre o Brasil como um Estado laico, Vídeo
810, Suor [Visões do esporte], Duração: 1 min <VIRGULA> 10 s, Vídeo
811, Computador, Duração: 5 min, Vídeo
812, TV Escola – Sala de Professor – Programa O movimento punk. – Parte 02, Analisar e pesquisar sobre Merz, Vídeo
813, Cabo de guerra elétrico: parte 1: experimento prático, Mostrar a eletrização por indução, Experimento prático
814, Motion in 2d, Conceitos de cinemática, Animação/simulação
815, As auxinas: o primeiro hormônio: exercício 3, Aprender sobre botânica, Animação/simulação
816, Grécia, Duração: 6 min <VIRGULA> 52 s, Vídeo
817, Operações com palitos, Noção de adição e subtração, Animação/simulação
818, Viagem Espacial Libras, Conhecer a grafia das letras do alfabeto, Animação/simulação
819, A hipótese de Mendel para o cruzamento híbrido, Aprender sobre cruzamento diíbrido, Animação/simulação
820, O trem de Galileu, Estudar as transformadas de Galileu, Animação/simulação
821, A descoberta do conto: parte 7 [Categorias Literárias], Despertar o interesse pela leitura, Áudio
822, Questão social: caso de polícia, Duração: 15 min, Vídeo
823, Aí tem química! - Teoria cinética dos gases e o comportamento dos gases, Explicar a teoria cinética dos gases, Vídeo
824, Formas geométricas [Conversa de professor], Duração: 14 min <VIRGULA> 27 s, Vídeo
825, Densidade dos líquidos, Avaliar a densidade de diferentes líquidos, Experimento prático
826, Onde fica o norte?, Construir uma bússola, Experimento prático
827, TV Escola – Sala de Professor – Programa A maestria do voo – Parte 01, Analisar e compreender um cladograma, Vídeo
828, Tornado azul: parte 1: experimento prático, Mostrar uma reação de oxirredução, Experimento prático
829, A determinação da densidade de sólidos e líquidos, Conhecimento sobre matéria e substância, Experimento prático
830, A vida aquática: níveis de organização do talo: exercício 2, Aprender sobre as algas, Animação/simulação
831, A cabanagem - Formas textuais de silenciamento: no entremeio do discurso e a sintaxe - Episódio III, Assistir o vídeo Cabanagem, Animação/simulação
832, Um dublê em apuros, Noções básicas de cinemática, Animação/simulação
833, Medir e caber, Duração: 5 min, Vídeo
834, Estrutura dos sólidos (6) – monoclínico, Conhecer a estrutura monoclínica dos sólidos, Animação/simulação
835, Dureza de uma água, Determinar a dureza de uma amostra de água, Experimento prático
836, Uma pletora de poliedros, Noções básicas de poliedros, Outros
837, Acidez de uma água, Determinar a acidez da água, Experimento prático
838, Super logo, Auxiliar no processo de aprendizagem, Software Educacional
839, Ferrugem [Orto e grafia], Duração: 4 min <VIRGULA> 12 s, Vídeo
840, A via gliconeogênica, Aprender sobre a via gliconeogênica, Animação/simulação
841, Kung fu da inércia: parte 2: vídeo, Demonstrar o princípio da inércia, Vídeo
842, Por que as serpentes mudam de pele? - Parte 3: Vídeo, Este objeto apresenta parte 1 e 2, Vídeo
843, Extração da gordura do leite, Extrair a gordura do leite, Experimento prático
844, Galileu e seu navio, Aplicar as transformadas de Galileu, Animação/simulação
845, Gente colonial, Duração: 16 min, Vídeo
846, Cilindro = Cone + Esfera ÷ 2, Duração: Uma aula dupla, Experimento prático
847, Praticando a Seleção Natural - Parte 2: Vídeo, Este objeto apresenta parte 1, Vídeo
848, Por que as serpentes mudam de pele? - Parte 2: Vídeo, Este objeto apresenta parte 1 e 3, Vídeo
849, Bento Gonçalves [Construtores do Brasil], Aprender sobre a vida de Bento Gonçalves, Vídeo
850, Eletroíman, Construir um eletroímã, Experimento prático
851, A física e o cotidiano - Experimentos Educacionais : Fabricando gelo, Demonstrar o conceito de mistura frigorífica, Experimento prático
852, Almanaque Sonoro de Química - Lixo Urbano descarte e reciclagem de materiais - Parte 3.1, Despertar o interesse pelo estudo da Química, Áudio
853, De onde vem o raio e o trovão?, Duração: 4 min <VIRGULA> 39 s, Vídeo
854, Substâncias químicas - De onde vem o sal do mar?, Compreender a origem do sal do mar, Animação/simulação
855, Trapézio, Identificar os elementos do trapézio, Imagem
856, A construção, Compreender e lei de proporções definidas, Animação/simulação
857, Ondas Sonoras, Conceito básico de onda e sua propagação., Experimento prático
858, Rudolf Clausius, Apresentar a imagem de Rudolf Clausius, Imagem
859, Folhas roxas fazem fotossíntese?, Conhecimentos básicos sobre fotossíntese, Experimento prático
860, Diferença entre temperatura e calor 2, Experimento de fácil execução, Experimento prático
861, Analisando duas características em comum, Aprender sobre conceitos de genética, Animação/simulação
862, De onde vem a televisão?, Duração: 5 min, Vídeo
863, Separação Magnética, Conhecimento em propriedades das substâncias, Vídeo
864, A cabanagem - Episódio III, Consultar o guia do professor, Vídeo
865, Perda [Orto e grafia], Duração: 1 min <VIRGULA> 35 s, Vídeo
866, Construindo curvas: elipse, Noções de construção geométrica, Animação/simulação
867, À procura do gato de schrödinger, Adaptação de Emiliano Chemello, Outros
868, Moving man, Conceitos de cinemática, Animação/simulação
869, Viagens do Chiquinho - Coréia, Aprender sobre a cultura da Coréia, Outros
870, Máquina de água, Demonstrar a ação da pressão hidráulica, Experimento prático
871, A gestão conjunta do Aquífero Guarani, Duração: 06 min 3 s, Áudio
872, Pilha de Daniell, Conceitos de eletroquímica, Experimento prático
873, Tudo se transforma - Reações químicas - Os primórdios, Conhecer passagens da história da química, Vídeo
874, Fazendo um spray caseiro: Parte 1: Experimento prático, Capacidade dos fluidos em exercer pressão, Experimento prático
875, Resolução de problemas [Conversa de professor], Abordar o ensino de medidas, Vídeo
876, TV Escola incentiva parceria entre escolas: parte 1 [Como fazer? A escola], Duração: 13 min <VIRGULA> 46 s, Vídeo
877, Almanaque Sonoro de Química - Energia Nuclear e Impacto Ambiental - Parte 2.1, Despertar o interesse pelo estudo de Química, Áudio
878, Bichos urbanos, Duração: aproximadamente 19 minutos, Vídeo
879, Carriolinha e peão [Tempo de brincar], Aprender como brincar de carriolinha e peão, Vídeo
880, Redução do permaganato de potássio, Mostrar a redução do permaganato de potássio, Experimento prático
881, De onde vem a luz?, Conhecer diferentes fontes de luz, Experimento prático
882, LSD, Demonstrar a estrutura de uma molécula de LSD, Imagem
883, Escrever não é um dom, Duração: 28 min <VIRGULA> 5 s, Áudio
884, São Paulo: parte 1 [Momento Brasil], Conhecer mais sobre a cidade de São Paulo, Vídeo
885, Vida saudável com o sol: parte 1 [Geração saúde], Duração: 10 min <VIRGULA> 57 s, Vídeo
886, Números Primos - Parte I, 1. Provar que existem infinitos números primos, Áudio
887, Mulheres [Visões do esporte], Duração: 1 min <VIRGULA> 3 s, Vídeo
888, Meu sistema solar, Cinemática; Leis de Kepler; Leis de Newton, Animação/simulação
889, Bainha de mielina 1: localização, Identificar a localização da bainha de mielina, Animação/simulação
890, A quaresma, Conhecer sobre a semana santa e a páscoa, Software Educacional
891, Absorção de água em plantas: exercício 3, Aprender sobre a absorção da água em plantas, Animação/simulação
892, Reações ácido/base, Conceito de ácidos e bases, Software Educacional
893, Cloroplasto, Animação apresenta conceitos dos cloroplastos, Animação/simulação
894, De onde sopra o vento?, Construir um cata-vento (biruta), Experimento prático
895, Desafio Empresarial, Conhecimentos em funções, Software Educacional
896, Mitos urbanos, Mitos sobre as raízes das árvores nas cidades, Vídeo
897, TV Escola – Sala de Professor – Programa Charles Darwin e a árvore da vida. – Parte 05, Discutir questionamentos sobre a diversidade, Vídeo
898, A Era Vargas, Descrever a Era Vargas, Vídeo
899, Skoool futebol - ângulos, Classificar ângulos, Animação/simulação
900, Georg Ohm, Apresentar a imagem de Georg Ohm, Imagem
901, Circuito Eléctrico, Conhecimentos Básicos de Eletricidade, Vídeo
902, Cinética química, Conceito de cinética química, Software Educacional
903, Hanseníase [Geração saúde], Duração: 23 min <VIRGULA> 10 s, Vídeo
904, Por que os elefantes têm orelhas grandes? - Parte 2: Vídeo, Este objeto apresenta parte 1, Vídeo
905, De onde vem o sal?, Conhecer todo o processo de fabricação do sal, Vídeo
906, Conversa Periódica - Reciclagem, Reconhecer a importância da reciclagem do lixo, Vídeo
907, De que cor são os piões?, Compreender como é formada a luz branca, Experimento prático
908, Poliacrilato<VIRGULA> o superabsorvente: parte 2: vídeo, Conceitos de osmose e concentração de soluções, Vídeo
909, A vida microscópica: Diversidade (com libras), Apresenta a diversidade da vida microscópica, Vídeo
910, O planejamento tintim por tintim [Escola em discussão], Duração: 14 min <VIRGULA> 4 s, Vídeo
911, Meninos e Meninas, Duração: 00:06:24, Áudio
912, Barato Total, Duração: 00:06:00, Áudio
913, Primos, Identificar os números primos., Animação/simulação
914, 4 Cores, Introduzir conceitos de topologia e grafos, Animação/simulação
915, Pilha de moedas, Conceitos básicos de eletroquímica, Experimento prático
916, Motorzinho elétrico, Montar um motor elétrico, Animação/simulação
917, Turismo [Aula lá fora], Duração: 26 min <VIRGULA> 49 s, Vídeo
918, Precipitação do iodeto de chumbo, Conhecimento em propriedades das substâncias, Vídeo
919, Vozes da cidade - Para-choques de caminhão: a polifonia das estradas, Apresentar a Polifonia, Animação/simulação
920, Robert Boyle, Apresentar a imagem de Robert Boyle, Imagem
921, Movimentando e Reciclando, Noções sobre movimento e cultura corporal, Animação/simulação
922, Eclipses, Compreender o que é e como ocorre um eclipse, Experimento prático
923, Uma maçã podre, Ensinar como um organismo pode infectar outro, Experimento prático
924, Viva a diferença [Escola em discussão], Duração: 16 min <VIRGULA> 44 s, Vídeo
925, Pontociência no parque: parte 1: de olho no repolho, Demonstrar um indicador ácido-base natural, Vídeo
926, Radiação de corpo negro, Conceitos de Física Moderna, Animação/simulação
927, Química: uma ciência conservadora?: parte 2: vídeo, Discutir a Lei de Conservação das Massas, Vídeo
928, James Dewar, Apresentar a imagem de James Dewar, Imagem
929, Essa gente brasileira - parte III, Duração: 1 minuto, Vídeo
930, Achando o centro de massa: parte 2: vídeo, Encontrar o centro de massa de alguns objetos, Vídeo
931, Arco-íris, Duração: 4 min, Vídeo
932, Solução supersaturada, Conhecimentos em matéria e substâncias, Experimento prático
933, A cabanagem - O Jornalismo e a construção da verdade - Episódio II, Assistir o vídeo Cabanagem, Animação/simulação
934, Raquete de carpete: parte 2: vídeo, Conceitos de interações intermoleculares, Vídeo
935, TV Escola – Sala de Professor – Programa O movimento punk. – Parte 01, Analisar e interpretar da figura A fonte, Vídeo
936, Orbitais 4f, Conhecimentos de atomística, Animação/simulação
937, Não fique nervoso: parte 1: experimento prático, Demostrar o processo de corrosão, Experimento prático
938, Poder da mente [Visões do esporte], Duração: 1 min <VIRGULA> 13 s, Vídeo
939, Alexandre Levy: parte 2 [Aurora luminosa], Apresentar obra orquestrada de Alexandre Levy, Vídeo
940, Corpo humano - atividade 1: Para onde vão os alimentos que comemos?, Conhecer o caminho percorrido pelos alimentos, Experimento prático
941, O espaço na pré-escola [Educação infantil], Duração: 12 min <VIRGULA> 47 s, Vídeo
942, A cabanagem - Mitos<VIRGULA> autoria e a circulação do discurso - Episódio III, Assistir o vídeo Cabanagem, Animação/simulação
943, Reações fotoquímicas - Fotoluminescência fluorescência e fosforescência, Compreender o que é a fotoluminescência, Animação/simulação
944, Math1_Deriv_15_01_01, Estudar as regras de derivação, Animação/simulação
945, Um salto para a vida, Noções básicas de Cinemática, Animação/simulação
946, Almanaque Sonoro de Química - Embalagens - Parte 3.1, Despertar o interesse pelo estudo de Química, Áudio
947, Geometria do Táxi - Formas Geométricas, Duração: uma aula simples, Animação/simulação
948, Deodoro da Fonseca [Construtores do Brasil], Aprender sobre a vida de Deodoro da Fonseca, Vídeo
949, A cabanagem - Jornalismo e Imagem - Episódio II, Consultar o guia do professor, Animação/simulação
950, Aprender inglês, Aprender passos básicos da Língua inglesa, Software Educacional
951, Almanaque Sonoro de Química - Poluição Atmosférica - Parte 3.1, Despertar o interesse pelo estudo da Química, Áudio
952, Actividade 1- preparação de soluções dada a concentração em massa, Conhecimentos básicos em soluções, Experimento prático
953, Le Chatelier e o cloreto de cobalto: parte 2: vídeo, Discutir o princípio de Le Chatelier, Vídeo
954, Quanto tempo o tempo tem [Escola em discussão], Duração: 12 min <VIRGULA> 10 s, Vídeo
955, Caixa preta: parte 1: experimento prático, Modelos atômicos, Experimento prático
956, Produção de chucrute, Estudar o processo de fermentação, Experimento prático
957, As giberelinas, Aprender sobre a giberelina, Animação/simulação
958, James Clerk Maxwell, Apresentar a imagem de James Maxwell, Imagem
959, Cálculo mental, Conhecimento de operações de soma e subtração, Software Educacional
960, A cabanagem - A Ressignificação e Atualização dos Mitos - Episódio III, Assistir o vídeo Cabanagem, Animação/simulação
961, Math1_Integrale_12_04, Noções de cálculo diferencial e integral, Animação/simulação
962, Espaço e Tempo, Conhecimentos acerca da teoria da relatividade, Animação/simulação
963, O que é sociologia?, Aprender alguns fundamentos da sociologia, Vídeo
964, Adaptando uma chapa térmica: parte 1: experimento prático, Construir uma chapa térmica adaptada, Experimento prático
965, Por que os hipopótamos são assim? - Parte 2: Vídeo, Apresentar características dos hipopótamos, Vídeo
966, Bomba Diprivan: parte 1 [Anestesiologia], Aprender como usar uma bomba infusora, Vídeo
967, Nossos direitos [Índios no Brasil], Duração: 17 min <VIRGULA> 15 s, Vídeo
968, Estereoisômero, Aprender sobre os estereisomêros, Animação/simulação
969, O descartável, Mostrar como houve a inconfidência mineira, Vídeo
970, Ilha Grande [Momento Brasil], Duração: 1 min <VIRGULA> 38 s, Vídeo
971, O que é sociologia?, Conhecer os objetivos da sociologia, Áudio
972, Entrevista - Vocação Química, Estimular a vocação para a Química, Vídeo
973, Pressão hidrostática em líquidos, Estudar a pressão hidrostática de um líquido, Animação/simulação
974, Almanaque sonoro de química - Conservação de Alimentos - Parte 2, Despertar o interesse pelo estudo químico, Áudio
975, Analysis SOL-AR, Colaborador: Edson T. Ono (programação), Animação/simulação
976, Densidade dos cilindros parte 2: vídeo, Determinar a densidade de metais, Vídeo
977, Pesando ar: parte 2: vídeo, Comportamento dos gases, Vídeo
978, Citações - Amor, Apresentar frases relativas ao amor – clichês, Animação/simulação
979, Almanaque sonoro de química - Cosméticos - Parte 3.1, Despertar o interesse pelo estudo da química, Áudio
980, Chulé, Duração: 00:04:44, Áudio
981, Construindo curvas: parábola, Noções de construção geométrica, Outros
982, a, b, Livro digital
983, Oficina Arduino, Introdução ao Arduíno/Wired, Apresentação
984, POO, Descricao do recurso nao identificado, Texto
985, imagem, Descricao do recurso nao identificado, Imagem
986, Cartilha Diálogo Virtual 2.0, Descricao do recurso nao identificado, Livro digital
987, A Web Que Queremos (Alunos), Descricao do recurso nao identificado, Livro digital
988, Almanaque Jogue e Aprenda, Descricao do recurso nao identificado, Livro digital
989, Guia de atividades A Web Que Queremos para Educadores, Descricao do recurso nao identificado, Livro digital
990, Uso Responsável da Internet (Campanha MPF - SaferNet na TV), Descricao do recurso nao identificado, Vídeo
991, Denuncie. Não ignore! (Como denunciar violência sexual contra crianças na Internet), Descricao do recurso nao identificado, Vídeo
992, Retrato Falado (Campanha de TV sobre Canal de denúncias), Descricao do recurso nao identificado, Vídeo
993, Canal de ajuda - orientações para alunos<VIRGULA> educadores e pais sobre situações on-line, Descricao do recurso nao identificado, Imagem
994, Quiz Pense bem antes de publicar, Descricao do recurso nao identificado, Jogo
995, Exercício sobre dados pessoas para crianças, Descricao do recurso nao identificado, Jogo
996, Exercício sobre Senhas para crianças, Descricao do recurso nao identificado, Jogo
997, Condução saltatória em neurônios, Descricao do recurso nao identificado, Vídeo
998, Multiplicação Nível 8 - multiplicando decimais, Nenhuma descrição disponível., Vídeo
999, THbke1lRiEY, Descricao do recurso nao identificado, Vídeo
1000, T4GqS7X5wp8, Descricao do recurso nao identificado, Vídeo
1001, Equação de estado do gás ideal - exemplo 2, Descricao do recurso nao identificado, Vídeo
1002, sZ8Vgawxdkg, Descricao do recurso nao identificado, Vídeo
1003, t7P2OditRMo, Descricao do recurso nao identificado, Vídeo
1004, Potenciais - eletrotônico e de ação, Descricao do recurso nao identificado, Vídeo
1005, Redesigning the school day at KIPP LA using a Station Rotation model bonita, Descricao do recurso nao identificado, Vídeo
1006, Correção - Peróxido de hidrogênio, Descricao do recurso nao identificado, Vídeo
1007, Redesigning the school day at KIPP LA using a Station Rotation model bonita, Descricao do recurso nao identificado, Vídeo
1008, Correção - Peróxido de hidrogênio, Descricao do recurso nao identificado, Vídeo
1009, TaFDjVbbchY, Descricao do recurso nao identificado, Vídeo
1010, t7P2OditRMo, Descricao do recurso nao identificado, Vídeo
1011, Sx8MEvLvKs, Descricao do recurso nao identificado, Vídeo
1012, tDiekj1Esao, Descricao do recurso nao identificado, Vídeo
1013, Sx8MEvLvKs, Descricao do recurso nao identificado, Vídeo
1014, tDiekj1Esao, Descricao do recurso nao identificado, Vídeo
1015, tcTw4xgNA5w, Descricao do recurso nao identificado, Vídeo
1016, tElO67o9G6s, Descricao do recurso nao identificado, Vídeo
1017, Introdução à seleção natural, Descricao do recurso nao identificado, Vídeo
1018, Ss0gR yl2Uw, Descricao do recurso nao identificado, Vídeo
1019, Reações Redox, Descricao do recurso nao identificado, Vídeo
1020, Redesigning the school day at Summit Public Schools using a Flex model bonita, Descricao do recurso nao identificado, Vídeo
1021, Transmissão ao vivo de Khan Academy em Português, Descricao do recurso nao identificado, Vídeo
1022, rBrDmgL1N30, Descricao do recurso nao identificado, Vídeo
